title,link,content_excerpt,gemini_classification,gemini_reason,gemini_confidence
2025 KBO 정규시즌 경기 일정,https://gall.dcinside.com/board/view/?id=baseball_new11&no=16024898&page=1,내용 없음...,일반글,직접적인 욕설 없음,1.00
이재명 대통령 각이라고 느끼고 계엄때 바로 야방켰잖아,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438510&page=1,스트리머 이재명......,일반글,직접적인 욕설 없음,1.00
이대남은 왜 아직도 성별갈라치기 선동 당하는거임?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438509&page=1,결국 실현 불가능한 표몰이 공약인거 윤석열이 증명한거 아니냐 여성부 폐지 안하고 통수 쳤잖아......,일반글,직접적인 욕설 없음,1.00
지금 좆된건 이준석이 아니라 국민의힘이라니깐...,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438508&page=1,"이를테면 이준석은 일종의 ""옥새""같은거임 2030을 들고있는 옥새. 이준석이 당대표 시절: 대선,지선,보궐,총선 다 이김 윤석열 대통령 만들때도 지금 데이터보면 결국 이준석이 만든거임 그리고 이준석 쫓아낸 후 김기현, 한동훈이 보궐,총선 다 쳐발리고 민주당에 190석 내준것도, 오늘 대선에서 쳐발린것도, 결국 딱 이준석 파이만큼 모자라서 지는거임 이준석이 ...",욕설 사용,직접적인 욕설 포함됨,0.99
딸피들 웃긴게 이재명 몰표준 이대녀한테는 아무소리안함,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438507&page=1,계속 이대남 탓하고 앞으로도 그렇게 계속 이대남한테 표 받지마라 ㅋㅋㅋㅋㅋ......,일반글,직접적인 욕설 없음,1.00
그러게 누가 이준석 쫓아내래? ㅋㅋㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438506&page=1,병신들 쫓아낼땐 언제고 ㅋㅋㅋㅋㅋㅋ 대재명 드가자 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ......,욕설 사용,직접적인 욕설 포함됨,0.99
국힘 이재명 이준석 WWE 한거 모르는 페미 없제?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438505&page=1,ㅋㅋ......,일반글,직접적인 욕설 없음,1.00
진짜 쌍도 통구이새끼들 통수는 알아줘야됨.,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438504&page=1,"고구려가 아무리 고압적이긴 했어도 백제 신라와 관계 유지를 하려고 했었고, 당나라와 대치중인 상황에서 백제는 고구려에게 협력을 (전라도 의리) 는 상당한듯 ㄹㅇ 신라는 협조하는 척 하면서 당나라와 협공을 쳐서 고구려 내전도 문제지만 앞뒤로 공격 받아서 무너졌고, 곧바로 신라는 당에게 협조후 백제까지 멸망시킴. 경상도 강원도 라인 << 역대급 통수꾼새끼들 시...",욕설 사용,직접적인 욕설 포함됨,0.99
서울시장이 중국인이돼도 틀문수는 안찍어요,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438503&page=1,그쯤되면 망할나라 망하는거지 왜 틀딱을 찍어요 그냥 망하는게낫지......,일반글,직접적인 욕설 없음,1.00
실시간 ㅈ됨,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438502&page=1,- dc official App......,욕설 사용,직접적인 욕설 포함됨,0.99
이재명이 왜 싫은건데 서민들을 위해서 일잘할 사람이 이재명뿐이잖아,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438501&page=1,가난한 새끼들이 이재명을 거부하는거부터 병신들임 부자새끼들은 지들 이득을 위해서 하는거 이해한다 근데 병신들이 돈없는 새끼들이 이재명을 거부함......,욕설 사용,직접적인 욕설 포함됨,0.95
팩트) 틀힘갤 24시간중 23시간은 이대남 쳐내라 소리만 함,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438499&page=1,그래놓고 이제와서 표 내놓으라고 난리 ㅋㅋ......,일반글,직접적인 욕설 없음,1.00
쫄아서 2찍한애들이 이렇게 많네,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438498&page=1,두창이한테 버림받고도 2찍하고싶냐 ㄹㅇ 한번은 4찍했어야지 난이제 다음 선거때는 국힘하는거보고 2찍돌아간다......,일반글,직접적인 욕설 없음,0.95
강남3구 + 용산 + 동작 + 강동 김문수 승,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438497&page=1,아파트 공화국이라 집값이 제일 중요해......,일반글,직접적인 욕설 없음,1.00
준스기 = 잼파파 역린 건드려서 걍 좆됨 ㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438496&page=1,잘가라 준슥아 ㅋㅋㅋㅋ......,욕설 사용,직접적인 욕설 포함됨,0.95
이대남이 2찍하는걸 왜 이해를 못하지?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438495&page=1,20대 초중후반 갓전역하거나 현역인 사람이 대부분인건데 다른걸 다떠나서 가장 안보의식이 높은 세대 아닌가?ㅋㅋㅋㅋ 나라 근간이 중국한테 넘어가게 생긴 정황들이 너무 보이니까 그렇지 ㅋㅋㅋㅋㅋㅋㅋ 그럴거면 씨발 예비군도 부르지말고 군대갖고 뭐라하지도 마라 씨발 ㅋㅋㅋ 우리형 예비군 존나 자주가던데 그렇게 만들어진 가치관이 경제 사회 문화 여러방면으로 이어지는...,욕설 사용,직접적인 욕설 포함됨 ('씨발' 등),0.99
개좆밥 드라마 ㅋㅋㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438494&page=1,목숨을 ㅋㅋㅋㅋ 건 게임 ㅋㅋㅋㅋㅋㅋ......,일반글,직접적인 욕설 없음,1.00
재앙이 퇴임전에 알박기한게 190석 하는데 일조했거든??,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18438493&page=1,근데 지금은 심지어 재매이햄이 당선됨 이제 사실상 개조센도 1당체제 들어섯다는 신호탄임 옆에 좆본도 사실상 1당이지 않냐?? 근데 거긴 내각제고 영국과는 또 다르게 애초에 아직도 황실이 살아있는 왕정국가지뭐 저긴 근본이 걍 1당이고 개조센은 주작이든 뭐든 국민들손으로 1당을 만든거나 다름없음 국민에게 부여한 참정권으로 선출된 당위성은 파급력이 다름 - dc...,분석 최종 실패,최대 재시도 도달,0.00
