title,link,content_excerpt
2025 KBO 정규시즌 경기 일정,https://gall.dcinside.com/board/view/?id=baseball_new11&no=16024898&page=1,내용 없음
보수가 부활할려면 연예인들 욕하는 애들부터 숙청시키는거다,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439946&page=1,그게 지지율 올리는 유일한 길이다 팬들이 니들 뽑아주겠냐 기분 나빠서 국힘 안 뽑음 ㅋㅋㅋㅋㅋㅋ - dc official App...
요도상납견들 지딴에 ‘소신투표‘ 했다고 생각하는게 걍 ㄹㅇ웃음벨ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439945&page=1,ㅋㅋ - dc official App...
국힘 해산 및 창당은 확실하네 ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439944&page=1,"이미 인식은 좆대로 나빠졌고, 윤두창이랑 사법부 정치편향으로 위헌정당 판결 날판이네 ㅋㅋ 수고했다 대한민국 이제부터는 중국 한반도 자치구 조선인민공화국 관리 제2 구역..."
과반못넘어서 권력잔인하게 쓰다 먹힌다 ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439943&page=1,ㅋㅋ...
진지하게 좆된건 10대아닐까,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439942&page=1,이대남은 즈그들 부모재산이나 받겠지만 10대들은 어쩌노 ㄹㅇ - dc official App...
이대남인데 하나 확실히 알았음,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439941&page=1,"이대남편 당은 없고, 이대남편드는 정치인 따라 투표하면서 회색지대 중도층으로 사는게 도움된다는거 원래 당연한거지만, 종교적으로 따라가는 정치가 대부분이라 중도로는 존재감 어필이 안된다고 생각해서 2찍하던건데 결국 2찍해도 뭐가 생기지 않음 심지어 국힘은 뭐가생기지도않는데 무능하고 급발진이 심해서 최악임 회색분자로 산다..."
틀구이식 자아분열.txt,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439939&page=1,한줌 이대남 뒤져라~ vs 이대남들이 4찍하지 않았으면 이겼는데 씨발 이준석 꺼져라~ vs 싸가지없는새끼 단일화를 안해?...
70대빼고 모든세대에서 다쳐발렸는데,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439938&page=1,그러면 자기들 선택지가 틀린걸 인정해야하는데 병신들이 이대남탓함ㅋㅋㅋ 저래놓고 몇달뒤 나경원 윤상현 쳐밀고 있을거임 - dc official App...
이대남 한테 표달라 하지마라,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439937&page=1,한줌단이라면서 필요없다 하긴 하더만 ㅋㅋㅋ...
국민의 힘은 내란 때문에 해산될 거 같은데,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439936&page=1,ㄹㅇ...
