title,link,content_excerpt,gemini_classification,gemini_reason,gemini_confidence
플라티나 랩 정보 모음,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=356&page=1,"0. 밤비는 귀엽다 1. 해금 목록 (4/16 패치 이후로 완화됨) https://m.dcinside.com/board/platinalab/2489 2. 세판 ±24ms, 일반 퍼펙트 ±50ms (다크모드에선 안보임) https://m.dcinside.com/board/platinalab/2485 스타플라티나 랩 정확한 판정 정보 PerfectHigh: 2...",일반글,해당 없음,0.95
플라티나 랩 갤러리 이용 안내 및 운영 규정,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=56&page=1,"[이용 안내 및 준수사항 고지] - 플라티나 랩 마이너 갤러리는 디시인사이드 마이너 갤러리의 이용수칙을 준수하고 있습니다. 해당 내용은 여기 를 참조해주세요. - 규정 위반 신고 및 건의, 이의 제기는 호출벨 을 통해 문의해주세요. [운영 규정 상세 고지] 1. 말머리 설 명 일반 - 대부분의 글이 들어가는 말머리입니다. 성과글은 일반 말머리로 쓰시면 됩니...",일반글,해당 없음,0.95
호출벨,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=2831&page=1,"호출하러 온 분들은 댓글 입력 후 본인이 직접 삭제하지 마세요 부매니저는 이 글을 관심글로 설정해 주세요 문제가 해결된 댓글은 삭제해주세요 자주 처리하는 내용들 1. 뉴비 수준을 넘은 뉴비 관련 키워드가 들어간 성과글 - 1일(진짜로 모르는 경우가 크기 때문에 크게 안줌) 2. 뉴비글로 위장한 기만질 - 7일 3. 단순 어그로, 갈라치기 - 31일 및 갱신...",비방글,"4. 경고 없는 불쾌감 유발 글(퍼리, 게이 등)에 대한 언급은 특정 집단에 대한 혐오 발언으로 해석될 수 있습니다.",0.85
아이링,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=12&page=1,아이링...,일반글,해당 없음,0.95
밤비,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=9&page=1,밤비...,일반글,해당 없음,0.95
케이크,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4&page=1,케이크...,일반글,해당 없음,1.00
로로,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=605&page=1,로로...,일반글,해당 없음,0.95
에나,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=606&page=1,에나...,일반글,해당 없음,0.95
레이블,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=607&page=1,레이블...,일반글,해당 없음,1.00
코스프레 부른건 좀 좋았던듯,https://gall.dcinside.com/mgallery/board/view/?id=platinalab&no=4701&page=1,그 덕분에 시연줄에서 탈주해서 코스프레랑 찍는 사람도 있었음 ㅋㅋ 아이링없던건 까비...,일반글,해당 없음,0.95
